name,portion,calories,protein,carbs,fats,is_veg,tags
Egg Bhurji,"2 eggs (130g)",220,13,5,17,false,"breakfast, high-protein, low-carb"
Masala Omelette,"2 eggs (130g)",230,13,4,18,false,"breakfast, high-protein, low-carb"
Egg Curry,"1 katori with 2 eggs",280,15,10,20,false,"lunch, dinner, high-protein"
Grilled Chicken Breast,"100g",165,31,0,3.6,false,"lunch, dinner, high-protein, low-carb"
Chicken Curry,"1 katori (150g)",240,24,7,13,false,"lunch, dinner, north-indian, high-protein"
Tandoori Chicken,"2 pieces (150g)",250,30,4,13,false,"lunch, dinner, high-protein, low-carb"
Chicken Tikka,"6 pieces (120g)",210,26,5,10,false,"lunch, dinner, snack, high-protein, low-carb"
Chicken Soup,"1 bowl (200ml)",110,12,6,4,false,"dinner, light, high-protein, low-carb"
Fish Curry,"1 katori with 1 piece",210,22,6,11,false,"lunch, dinner, high-protein, low-carb"
Grilled Fish,"100g",180,22,0,10,false,"lunch, dinner, high-protein, low-carb, healthy-fat"
Tawa Fish Fry,"1 piece (100g)",200,21,4,11,false,"lunch, dinner, high-protein"
Prawns Curry,"1 katori (150g)",190,20,7,9,false,"lunch, dinner, high-protein, low-carb"
Mutton Curry,"1 katori (150g)",290,22,7,20,false,"lunch, dinner, north-indian, high-protein"
Keema (Chicken),"1 katori (120g)",230,22,5,14,false,"lunch, dinner, high-protein, low-carb"
Soya Chunks Curry,"1 katori (150g)",220,18,18,8,true,"lunch, dinner, high-protein"
Tofu Bhurji,"1 katori (120g)",190,14,7,12,true,"breakfast, lunch, dinner, high-protein, low-carb"
Grilled Tofu,"100g",145,15,3,8,true,"lunch, dinner, high-protein, low-carb"
Rajma Salad,"1 katori (150g)",190,10,26,4,true,"lunch, snack, high-protein, fiber"
Chana Salad,"1 katori (150g)",200,10,28,5,true,"lunch, snack, high-protein, fiber"
Sprouts Salad,"1 katori (120g)",140,9,20,2,true,"breakfast, snack, high-protein, fiber"
Curd (plain),"1 katori (150g)",90,5,7,4.5,true,"lunch, snack, high-protein"
Greek Yogurt (plain),"1 katori (150g)",130,15,7,4,true,"breakfast, snack, high-protein"
Hung Curd,"1 katori (120g)",120,10,6,6,true,"snack, high-protein"
Buttermilk (Chaas),"1 glass (200ml)",60,3,5,2.5,true,"drink, light"
Milk (toned),"1 glass (200ml)",120,7,10,5,true,"drink, high-protein"
Paneer (raw),"100g",265,18,4,20,true,"snack, high-protein, low-carb"
Whey Protein Shake,"1 scoop in water (30g)",120,24,3,1.5,true,"drink, high-protein, post-workout"
Oats with Milk,"1 katori (200g)",250,10,38,6,true,"breakfast, fiber, high-protein"
Overnight Oats,"1 jar (250g)",280,12,42,7,true,"breakfast, fiber, high-protein"
Muesli with Curd,"1 katori (180g)",290,11,44,8,true,"breakfast, fiber"
Vegetable Sandwich,"2 slices (120g)",230,7,36,6,true,"breakfast, snack"
Paneer Sandwich,"2 slices (140g)",320,15,34,14,true,"breakfast, snack, high-protein"
Vegetable Soup,"1 bowl (200ml)",80,3,12,2,true,"dinner, light, low-carb"
Tomato Soup,"1 bowl (200ml)",90,2,15,2.5,true,"dinner, light"
Sweet Corn Soup,"1 bowl (200ml)",110,4,20,2,true,"dinner, light"
Green Salad,"1 plate (150g)",50,2,9,0.5,true,"lunch, dinner, light, fiber, low-carb"
Cucumber Raita,"1 katori (150g)",80,4,7,4,true,"lunch, dinner, light"
Boondi Raita,"1 katori (150g)",130,4,12,7,true,"lunch, dinner, north-indian"
Roasted Chana,"1 handful (30g)",120,7,18,2,true,"snack, high-protein, fiber"
Makhana (roasted),"1 bowl (25g)",90,3,18,0.5,true,"snack, light, low-fat"
Almonds,"10 pieces (12g)",70,2.5,2.5,6,true,"snack, healthy-fat"
Walnuts,"4 halves (12g)",80,2,1.5,8,true,"snack, healthy-fat"
Peanuts (roasted),"1 handful (30g)",170,7,5,14,true,"snack, healthy-fat, high-protein"
Mixed Nuts,"1 handful (25g)",150,5,6,13,true,"snack, healthy-fat"
Pumpkin Seeds,"1 tbsp (15g)",85,4,3,7,true,"snack, healthy-fat, high-protein"
Chia Seeds,"1 tbsp (12g)",60,2,5,4,true,"snack, fiber, healthy-fat"
Flax Seeds,"1 tbsp (10g)",55,2,3,4,true,"snack, fiber, healthy-fat"
Apple,"1 medium (180g)",95,0.5,25,0.3,true,"snack, fiber"
Banana,"1 medium (120g)",105,1.3,27,0.4,true,"snack, pre-workout"
Papaya,"1 katori (150g)",60,0.7,15,0.2,true,"snack, fiber, light"
Guava,"1 medium (120g)",68,2.6,14,1,true,"snack, fiber"
Orange,"1 medium (150g)",62,1.2,15,0.2,true,"snack, fiber"
Pomegranate,"1 katori (120g)",100,2,23,1.2,true,"snack, fiber"
Watermelon,"1 katori (150g)",45,0.9,11,0.2,true,"snack, light"
Mixed Fruit Bowl,"1 katori (150g)",80,1,20,0.5,true,"snack, fiber"
Coconut Water,"1 glass (250ml)",45,1.7,9,0.5,true,"drink, light"
Green Tea,"1 cup (200ml)",2,0,0.5,0,true,"drink, light"
Lemon Water,"1 glass (250ml)",10,0,3,0,true,"drink, light"
Ghee,"1 tsp (5g)",45,0,0,5,true,"side, healthy-fat"
Olive Oil,"1 tsp (5ml)",40,0,0,4.5,true,"side, healthy-fat"
Peanut Butter,"1 tbsp (16g)",95,4,3,8,true,"snack, healthy-fat, high-protein"
Chholar Dal,"1 katori (150g)",190,9,26,5,true,"lunch, dinner, east-indian, high-protein"
Aloo Bhaja,"1 katori (100g)",180,2,22,9,true,"lunch, dinner, east-indian"
Begun Bhaja,"2 pieces (100g)",160,2,14,11,true,"lunch, dinner, east-indian"
Dhokar Dalna,"1 katori (150g)",220,9,24,10,true,"lunch, dinner, east-indian, high-protein"
Ghugni,"1 katori (150g)",210,11,28,6,true,"breakfast, snack, east-indian, high-protein, fiber"
Bhapa Doi,"1 small bowl (100g)",180,6,24,6,true,"snack, east-indian"
Dalma,"1 katori (180g)",200,9,30,5,true,"lunch, dinner, east-indian, high-protein, fiber"
Santula,"1 katori (150g)",110,3,14,5,true,"lunch, dinner, east-indian, light, fiber"
Pakhala Bhata,"1 katori (200g)",180,4,38,1,true,"lunch, east-indian, light, low-fat"
Masor Tenga,"1 katori with fish",190,20,6,9,false,"lunch, dinner, east-indian, high-protein, low-carb"
Doi Maach,"1 katori with fish",240,21,8,14,false,"lunch, dinner, east-indian, high-protein"
Bhetki Paturi,"1 piece (120g)",230,22,4,14,false,"lunch, dinner, east-indian, high-protein, low-carb"
Kosha Mangsho,"1 katori (150g)",320,23,8,22,false,"lunch, dinner, east-indian, high-protein"
Zunka,"1 katori (120g)",190,9,20,8,true,"lunch, dinner, west-indian, high-protein"
Pithla,"1 katori (150g)",180,9,18,8,true,"lunch, dinner, west-indian, high-protein"
Amti,"1 katori (150g)",160,8,22,4,true,"lunch, dinner, west-indian, high-protein"
Varan Bhaat,"1 katori (200g)",280,9,48,5,true,"lunch, dinner, west-indian, high-protein"
Sabudana Khichdi,"1 katori (150g)",300,4,45,11,true,"breakfast, west-indian"
Kanda Poha,"1 plate (150g)",240,5,40,7,true,"breakfast, west-indian"
Matki Usal,"1 katori (150g)",190,11,24,5,true,"breakfast, lunch, west-indian, high-protein, fiber"
Bharli Vangi,"1 katori (150g)",220,5,18,14,true,"lunch, dinner, west-indian"
Thalipeeth,"1 piece (80g)",200,6,30,6,true,"breakfast, west-indian, fiber"
Puran Poli,"1 piece (80g)",260,6,45,6,true,"lunch, west-indian"
Gujarati Dal,"1 katori (150g)",160,8,24,3,true,"lunch, dinner, west-indian, high-protein"
Undhiyu,"1 katori (150g)",250,6,24,14,true,"lunch, dinner, west-indian, fiber"
Khandvi,"4 pieces (100g)",150,6,16,7,true,"snack, west-indian, high-protein"
Muthiya,"3 pieces (100g)",180,6,28,5,true,"breakfast, snack, west-indian, fiber"
Patra,"3 pieces (100g)",170,5,24,6,true,"snack, west-indian, fiber"
Gatte ki Sabzi,"1 katori (150g)",240,9,24,12,true,"lunch, dinner, west-indian, high-protein"
Panchmel Dal,"1 katori (150g)",175,10,24,4,true,"lunch, dinner, west-indian, high-protein, fiber"
Ker Sangri,"1 katori (120g)",190,5,16,12,true,"lunch, dinner, west-indian, fiber"
Chicken Bhuna,"1 katori (150g)",260,25,8,14,false,"lunch, dinner, north-indian, high-protein, low-carb"
Chicken Seekh Kebab,"2 pieces (100g)",210,22,4,12,false,"lunch, dinner, snack, high-protein, low-carb"
Fish Tikka,"5 pieces (120g)",190,24,4,8,false,"lunch, dinner, snack, high-protein, low-carb"
Chicken Biryani,"1 plate (250g)",450,24,55,15,false,"lunch, dinner, high-protein"
Mutton Rogan Josh,"1 katori (150g)",300,22,8,20,false,"lunch, dinner, north-indian, high-protein"
Prawn Fry,"1 katori (120g)",200,20,6,11,false,"lunch, dinner, high-protein, low-carb"
Chicken Stew,"1 bowl (200g)",200,20,12,8,false,"dinner, light, high-protein"
Fish Moilee,"1 katori (150g)",230,21,8,13,false,"lunch, dinner, south-indian, high-protein"
Chicken Chettinad,"1 katori (150g)",270,25,9,15,false,"lunch, dinner, south-indian, high-protein"
Chicken Kathi Roll,"1 roll (180g)",380,22,40,14,false,"lunch, snack, high-protein"
Egg Salad,"1 katori (150g)",180,12,6,12,false,"breakfast, snack, high-protein, low-carb"
Boiled Chicken Salad,"1 plate (200g)",220,28,10,7,false,"lunch, dinner, high-protein, low-carb"
Chicken Sandwich,"2 slices (150g)",300,20,32,10,false,"breakfast, snack, high-protein"
Mutton Keema,"1 katori (120g)",280,22,5,19,false,"lunch, dinner, high-protein, low-carb"
